,precision,recall,f1-score,support
0,0.9996293092796243,0.9996293092796243,0.9996293092796243,56651.0
1,0.7789473684210526,0.7789473684210526,0.7789473684210526,95.0
accuracy,0.9992598597257957,0.9992598597257957,0.9992598597257957,0.9992598597257957
macro avg,0.8892883388503385,0.8892883388503385,0.8892883388503385,56746.0
weighted avg,0.9992598597257957,0.9992598597257957,0.9992598597257957,56746.0
