Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Logistic Regression,0.9736721531033024,0.053035143769968,0.8736842105263158,0.1,0.9618957810936584
Decision Tree,0.9865188735769922,0.0904645476772616,0.7789473684210526,0.1621029572836801,0.8732367803234765
Random Forest,0.9992246149508336,0.7628865979381443,0.7789473684210526,0.7708333333333334,0.9765212487539128
XGBoost,0.9985373418390724,0.5422535211267606,0.8105263157894737,0.6497890295358649,0.9756125455118088
LightGBM,0.9985725866140344,0.5486111111111112,0.8315789473684211,0.6610878661087866,0.9634971835866696
CatBoost,0.9988545448137314,0.6229508196721312,0.8,0.7004608294930875,0.9684368464717954
